,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Ogrzewanie,Rok budowy,Stan wykończenia,Forma własności,Okna,Czynsz,Dostępne od,Cena
1388,72,3,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,394200.0
1389,45,2,pierwotny,apartamentowiec,3,,inne,miejskie,,,pełna własność,plastikowe,,,280350.0
1390,70,4,pierwotny,apartamentowiec,10,10,,miejskie,,,,,,,443450.0
1391,200,8,wtórny,kamienica,3,5,inne,miejskie,1920,do remontu,pełna własność,drewniane,600,,699000.0
1392,104,5,pierwotny,apartamentowiec,10,16,,miejskie,,,,,,,836000.0
1393,34,1,pierwotny,apartamentowiec,5,10,,miejskie,,,pełna własność,plastikowe,,,222360.0
1394,51.50,2,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,277500.0
1395,135,7,wtórny,,1,4,inne,miejskie,,do remontu,pełna własność,drewniane,,,540000.0
1396,39,2,wtórny,blok,3,4,,miejskie,,,,plastikowe,413,,214000.0
1397,51.40,3,wtórny,,2,3,,miejskie,2016,,pełna własność,plastikowe,,,367700.0
1398,63,3,wtórny,blok,3,11,beton,inne,1980,do remontu,pełna własność,drewniane,,,349000.0
1399,65,3,wtórny,blok,10,10,beton,miejskie,1979,do zamieszkania,pełna własność,plastikowe,550,,285000.0
1400,61.03,3,pierwotny,apartamentowiec,0,4,pustak,miejskie,2021,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,388994.0
1401,26,1,wtórny,blok,10,10,beton,miejskie,1978,do zamieszkania,spółdzielcze własnościowe,plastikowe,300,,147000.0
1402,46.91,2,pierwotny,apartamentowiec,0,5,inne,miejskie,2019,,pełna własność,,,,272078.0
1403,53.92,2,pierwotny,apartamentowiec,0,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,339696.0
1404,60.97,3,pierwotny,apartamentowiec,0,4,pustak,miejskie,2021,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,409047.0
1405,39,2,wtórny,,3,4,,,,,pełna własność,,,,214000.0
1406,34.45,1,pierwotny,apartamentowiec,0,4,pustak,miejskie,2021,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,223925.0
1407,54.33,2,pierwotny,apartamentowiec,0,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,331413.0
1408,51.81,2,pierwotny,apartamentowiec,0,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,326403.0
